""	"sample"	"ind"	"time"	"condition"	"cycle"
"1"	"LU1"	1	"ZT1"	"WT"	"Day"
"2"	"LU2"	2	"ZT1"	"WT"	"Day"
"3"	"LU3"	3	"ZT1"	"WT"	"Day"
"7"	"LU7"	7	"ZT5"	"WT"	"Day"
"8"	"LU8"	8	"ZT5"	"WT"	"Day"
"9"	"LU9"	9	"ZT5"	"WT"	"Day"
"13"	"LU13"	13	"ZT9"	"WT"	"Day"
"14"	"LU14"	14	"ZT9"	"WT"	"Day"
"15"	"LU15"	15	"ZT9"	"WT"	"Day"
"19"	"LU19"	19	"ZT13"	"WT"	"Night"
"20"	"LU20"	20	"ZT13"	"WT"	"Night"
"21"	"LU21"	21	"ZT13"	"WT"	"Night"
"25"	"LU25"	25	"ZT17"	"WT"	"Night"
"26"	"LU26"	26	"ZT17"	"WT"	"Night"
"27"	"LU27"	27	"ZT17"	"WT"	"Night"
"31"	"LU31"	31	"ZT21"	"WT"	"Night"
"32"	"LU32"	32	"ZT21"	"WT"	"Night"
"33"	"LU33"	33	"ZT21"	"WT"	"Night"
